time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
720273,1.846666667,1.6,1.83,NaN,8.05,1.423333333,0.666666667,24.66666667,1.99
720304,1.613333333,1.463333333,1.666666667,NaN,7.92,1.366666667,0.69,21.93333333,1.813333333
720333,1.716666667,1.283333333,1.45,NaN,7.716666667,1.25,0.67,22.26666667,1.666666667
720364,1.666666667,1.456666667,1.43,NaN,8.79,1.666666667,0.65,17.56666667,1.74
720394,3.01,2.703333333,2.846666667,NaN,19.5,3.706666667,1.626666667,21.46666667,1.74
720425,9.613333333,7.2,8.2,NaN,29.06666667,12.11333333,4.353333333,23.26666667,7.746666667
720455,9.263333333,8.22,11.8,NaN,30.7,10.94666667,5.976666667,26.53333333,8.65
720486,9.053333333,8.146666667,13.06666667,NaN,36.46666667,8.98,7.71,33.16666667,9.203333333
720517,5.893333333,5.363333333,8.283333333,NaN,21.9,4.983333333,4.513333333,29.63333333,5.686666667
720547,3.613333333,3.143333333,4.876666667,NaN,15.46666667,2.816666667,2.886666667,23.7,2.66
720578,2.696666667,1.98,2.856666667,NaN,13.26666667,2.28,1.863333333,21.93333333,1.953333333
720608,2.02,1.563333333,2.21,NaN,10.12333333,1.74,1.143333333,24.1,1.576666667
720639,1.9,1.216666667,1.696666667,NaN,8.763333333,1.676666667,0.97,22.66666667,1.353333333
720670,1.66,1.4,1.463333333,NaN,8.143333333,1.516666667,0.843333333,22.7,1.253333333
720698,1.65,1.433333333,1.516666667,NaN,8.223333333,1.543333333,0.743333333,22,1.243333333
720729,1.933333333,1.54,1.393333333,NaN,12.4,1.656666667,0.946666667,19.13333333,1.35
720759,3.673333333,2.663333333,2.906666667,NaN,18.9,4.526666667,1.636666667,24.83333333,1.35
720790,12.08666667,8.083333333,12.12666667,NaN,49.86666667,18.03333333,5.46,60.83333333,10.78
720820,15.93333333,14.3,26.4,NaN,62.4,13.86666667,7.243333333,53.26666667,17.5
720851,11.9,13.52,24.26666667,NaN,47.46666667,8.196666667,6.756666667,29.13333333,15.4
720882,6.09,6.513333333,11.14333333,NaN,26.26666667,4.483333333,3.47,29.3,6.346666667
720912,3.296666667,2.716666667,5.313333333,NaN,15.86666667,2.796666667,1.736666667,21.3,3
720943,2.56,1.906666667,3.41,NaN,12.9,2.096666667,1.16,21.86666667,2.196666667
720973,2.11,1.64,2.726666667,NaN,9.07,1.7,0.796666667,22.73333333,1.77
721004,1.733333333,1.48,2.343333333,NaN,7.283333333,1.453333333,0.576666667,21.7,1.616666667
721035,1.52,1.41,1.6,NaN,8.243333333,1.403333333,0.57,21.33333333,1.66
721063,1.496666667,1.386666667,1.286666667,NaN,9.706666667,1.36,0.493333333,21.06666667,1.646666667
721094,1.583333333,1.286666667,1.29,NaN,10.82666667,1.483333333,0.423333333,17.26666667,1.696666667
721124,2.42,2.32,2.276666667,NaN,21.5,2.893333333,0.986666667,19.16666667,1.696666667
721155,8.15,6.793333333,8.746666667,NaN,32.26666667,8.523333333,3.43,20.23333333,7.233333333
721185,13.5,13.7,21.86666667,NaN,49.03333333,11.4,6.596666667,26.3,14.9
721216,8.49,8.996666667,16.96666667,NaN,39.36666667,6.416666667,4.61,28.13333333,9.83
721247,4.71,3.956666667,7.536666667,NaN,24.16666667,4.09,2.58,27.16666667,4.48
721277,3.603333333,2.45,4.51,NaN,15.83333333,3.243333333,1.626666667,19.56666667,2.796666667
721308,2.516666667,1.87,2.853333333,NaN,12,2.306666667,1.03,21.4,2.036666667
721338,1.973333333,1.6,2.19,NaN,8.48,1.866666667,0.643333333,21.66666667,1.733333333
721369,1.853333333,1.426666667,1.86,NaN,9.17,1.533333333,0.766666667,21.06666667,1.363333333
721400,1.76,1.366666667,1.613333333,NaN,8.373333333,1.406666667,0.58,20.8,1.24
721428,1.566666667,1.306666667,1.453333333,NaN,8.573333333,1.286666667,0.556666667,20.1,1.183333333
721459,1.936666667,1.363333333,1.666666667,NaN,12.01333333,2.32,0.616666667,18.06666667,1.466666667
721489,2.746666667,2.12,3.36,NaN,14.33333333,3.146666667,1.12,16,1.466666667
721520,8.693333333,7.206666667,10.33666667,NaN,40.33333333,9.093333333,4.42,21.83333333,8.736666667
721550,12.46666667,13.66666667,20.26666667,NaN,39.96666667,11.35,5.423333333,18.46666667,14.9
721581,10.12,14.16666667,21.6,NaN,47.96666667,7.966666667,6.093333333,27.06666667,15.26666667
721612,4.923333333,6.52,9.213333333,NaN,25.86666667,4.126666667,3.55,25.96666667,6.383333333
721642,2.943333333,2.946666667,4.39,NaN,17.76666667,2.896666667,2.206666667,18.1,3.076666667
721673,1.996666667,2.17,2.603333333,NaN,12.93333333,2.09,1.246666667,21.03333333,1.993333333
721703,1.76,2.026666667,1.783333333,NaN,10.96666667,1.666666667,0.843333333,21.7,1.75
721734,1.493333333,1.67,1.416666667,NaN,10.28,1.383333333,0.68,22.86666667,1.55
721765,1.413333333,1.436666667,1.3,NaN,9.286666667,1.29,0.466666667,22.1,1.44
721794,1.3,1.276666667,0.976666667,NaN,8.84,1.236666667,0.46,19.83333333,1.316666667
721825,1.576666667,1.39,1.143333333,NaN,14.49666667,1.706666667,0.566666667,21.36666667,1.693333333
721855,4.083333333,3.053333333,3.26,NaN,31.46666667,4.806666667,2.176666667,21.26666667,1.693333333
