time,AlpineCamp,Baytyk,Belogorka,Bishkek,ChonArik,ChonKemin,ChonKurchak,KaraKudzhur,Kegety,Kochkorka,Shabdan,Sosnovka
729018,-2.88207641,-2.88207641,-2.88207641,-2.88207641,-2.88207641,-4.891393596,-2.88207641,-12.75513331,-4.891393596,-4.891393596,-6.538641918,-2.55301
729029,-3.754294024,-3.754294024,-3.754294024,-3.754294024,-3.754294024,-4.787515709,-3.754294024,-9.223822759,-4.787515709,-4.787515709,-5.765639264,-3.742290712
729039,-9.53432795,-9.53432795,-9.53432795,-9.53432795,-9.53432795,-10.82360078,-9.53432795,-15.9843809,-10.82360078,-10.82360078,-11.87702316,-9.189276641
729049,-5.481126168,-5.481126168,-5.481126168,-5.481126168,-5.481126168,-6.957400483,-5.481126168,-13.18208925,-6.957400483,-6.957400483,-7.97919906,-4.847212891
729060,-0.907635367,-0.907635367,-0.907635367,-0.907635367,-0.907635367,-2.378773009,-0.907635367,-8.219233364,-2.378773009,-2.378773009,-3.705343932,-1.158709524
729070,-5.935208005,-5.935208005,-5.935208005,-5.935208005,-5.935208005,-6.844473535,-5.935208005,-10.40026445,-6.844473535,-6.844473535,-7.685525121,-5.839298614
729080,-3.636206155,-3.636206155,-3.636206155,-3.636206155,-3.636206155,-3.814531784,-3.636206155,-8.652744854,-3.814531784,-3.814531784,-3.870417123,-4.055443788
729089,0.884429855,0.884429855,0.884429855,0.884429855,0.884429855,0.572577951,0.884429855,-3.273341801,0.572577951,0.572577951,0.239237191,0.615731322
729099,-1.001905281,-1.001905281,-1.001905281,-1.001905281,-1.001905281,-1.337705257,-1.001905281,-5.089413647,-1.337705257,-1.337705257,-1.787214657,-1.31258613
729109,1.84281049,1.84281049,1.84281049,1.84281049,1.84281049,0.98719524,1.84281049,-5.049166621,0.98719524,0.98719524,0.330233475,2.104381557
729120,-0.875138595,-0.875138595,-0.875138595,-0.875138595,-0.875138595,-1.603651811,-0.875138595,-7.343986977,-1.603651811,-1.603651811,-1.716658603,0.106439572
729130,10.69453191,10.69453191,10.69453191,10.69453191,10.69453191,9.579453487,10.69453191,3.797487321,9.579453487,9.579453487,9.055172236,11.35143512
729140,9.771799245,9.771799245,9.771799245,9.771799245,9.771799245,8.684416273,9.771799245,3.444531393,8.684416273,8.684416273,7.94249448,9.902079096
729150,10.19226649,10.19226649,10.19226649,10.19226649,10.19226649,8.914528549,10.19226649,2.193434955,8.914528549,8.914528549,8.201414705,10.85438089
729160,13.37261722,13.37261722,13.37261722,13.37261722,13.37261722,11.88303546,13.37261722,5.11521678,11.88303546,11.88303546,10.89109346,13.99052431
729170,14.8137865,14.8137865,14.8137865,14.8137865,14.8137865,13.65800861,14.8137865,7.642885422,13.65800861,13.65800861,13.05752362,15.48155391
729181,17.12936115,17.12936115,17.12936115,17.12936115,17.12936115,15.98260569,17.12936115,8.860191605,15.98260569,15.98260569,15.30509192,17.79440319
729191,16.95177068,16.95177068,16.95177068,16.95177068,16.95177068,16.07517758,16.95177068,9.60984236,16.07517758,16.07517758,15.52970023,17.3974156
729201,20.17749979,20.17749979,20.17749979,20.17749979,20.17749979,18.61097973,20.17749979,10.56050468,18.61097973,18.61097973,17.92444883,21.1354812
729211,20.10501149,20.10501149,20.10501149,20.10501149,20.10501149,18.99649098,20.10501149,10.73194711,18.99649098,18.99649098,18.06702476,20.7382594
