T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
2001-01-19 00:1080 , 2.26 ,0, nan nan
2001-01-29 00:1080 , 2.26 ,0, nan nan
2001-02-09 00:1080 , 2.27 ,0, nan nan
2001-02-20 00:1080 , 2.21 ,0, nan nan
2001-03-00 00:1080 , 2.44 ,0, nan nan
2001-03-10 00:1080 , 2.33 ,0, nan nan
2001-03-20 00:1080 , 3.52 ,0, nan nan
2001-04-00 00:1080 , 8.05 ,0, nan nan
2001-04-10 00:1080 , 9.34 ,0, 6.611 2.729
2001-04-21 00:1080 , 11.8 ,0, 10.661 1.139
2001-05-01 00:1080 , 12.3 ,0, 13.297 -0.997
2001-05-11 00:1080 , 12.3 ,0, 16.31 -4.01
2001-05-21 00:1080 , 11.9 ,0, 17.7 -5.8
2001-06-01 00:1080 , 10.9 ,0, 18.01 -7.11
2001-06-11 00:1080 , 12.4 ,0, 15.54 -3.14
2001-06-22 00:1080 , 11.7 ,0, 14.64 -2.94
2001-07-02 00:1080 , 12.0 ,0, 13.231 -1.231
2001-07-12 00:1080 , 10.5 ,0, 10.917 -0.417
2001-07-23 00:1080 , 7.96 ,0, 8.911 -0.951
2001-08-03 00:1080 , 6.11 ,0, 7.241 -1.131
2001-08-13 00:1080 , 4.88 ,0, 5.699 -0.819
2001-08-23 00:1080 , 4.44 ,0, 4.846 -0.406
2001-09-03 00:1080 , 3.88 ,0, 4.315 -0.435
2001-09-13 00:1080 , 3.64 ,0, 3.908 -0.268
2001-09-24 00:1080 , 3.34 ,0, 3.609 -0.269
2001-10-04 00:1080 , 3.1 ,0, 3.324 -0.224
2001-10-14 00:1080 , 2.87 ,0, 3.136 -0.266
2001-10-24 00:1080 , 2.74 ,0, 3.056 -0.316
2001-11-04 00:1080 , 2.73 ,0, 2.907 -0.177
2001-11-14 00:1080 , 2.5 ,0, 2.81 -0.31
2001-11-25 00:1080 , 2.44 ,0, nan nan
2002-00-00 00:720 , 2.29 ,0, nan nan
2002-00-10 00:720 , 2.27 ,0, nan nan
2002-00-21 00:720 , 2.23 ,0, nan nan
2002-01-01 00:720 , 2.1 ,0, nan nan
2002-01-11 00:720 , 2.1 ,0, nan nan
2002-01-19 00:720 , 2.07 ,0, nan nan
2002-01-29 00:720 , 2.06 ,0, nan nan
2002-02-09 00:720 , 2.16 ,0, nan nan
2002-02-20 00:720 , 2.36 ,0, 2.263 0.097
2002-03-00 00:720 , 2.84 ,0, 2.449 0.391
2002-03-10 00:720 , 4.78 ,0, 3.015 1.765
2002-03-20 00:720 , 3.84 ,0, 3.534 0.306
2002-04-00 00:720 , 6.21 ,0, 5.361 0.849
2002-04-10 00:720 , 6.92 ,0, 7.199 -0.279
2002-04-21 00:720 , 13.9 ,0, 10.87 3.03
2002-05-01 00:720 , 14.7 ,0, 13.127 1.573
2002-05-11 00:720 , 21.5 ,0, 16.21 5.29
2002-05-21 00:720 , 20.9 ,0, 17.42 3.48
2002-06-01 00:720 , 20.1 ,0, 17.44 2.66
2002-06-11 00:720 , 18.8 ,0, 15.57 3.23
2002-06-22 00:720 , 17.9 ,0, 14.47 3.43
2002-07-02 00:720 , 17.8 ,0, 13.181 4.619
2002-07-12 00:720 , 15.3 ,0, 10.827 4.473
2002-07-23 00:720 , 10.5 ,0, 8.714 1.786
2002-08-03 00:720 , 6.69 ,0, 7.012 -0.322
2002-08-13 00:720 , 5.67 ,0, 5.586 0.084
2002-08-23 00:720 , 5.06 ,0, 4.771 0.289
2002-09-03 00:720 , 4.69 ,0, 4.248 0.442
2002-09-13 00:720 , 4.0 ,0, 3.875 0.125
2002-09-24 00:720 , 3.56 ,0, 3.583 -0.023
2002-10-04 00:720 , 3.2 ,0, 3.287 -0.087
2002-10-14 00:720 , 2.88 ,0, 3.096 -0.216
2002-10-24 00:720 , 2.86 ,0, 2.998 -0.138
2002-11-04 00:720 , 2.86 ,0, 2.9 -0.04
2002-11-14 00:720 , 2.69 ,0, 2.798 -0.108
2002-11-25 00:720 , 2.58 ,0, nan nan
2003-00-00 00:360 , 2.49 ,0, nan nan
2003-00-10 00:360 , 2.47 ,0, nan nan
