T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
2002-03-10 12:00 , 731331.0 ,0, 1.85335551193 1.03664448807
2002-03-20 12:00 , 731341.0 ,0, 1.87753555835 0.452464441653
2002-04-00 12:00 , 731351.0 ,0, 2.98276443687 1.07723556313
2002-04-10 12:00 , 731361.0 ,0, 3.91078401933 1.03921598067
2002-04-21 12:00 , 731372.0 ,0, 6.61284908358 3.38715091642
2002-05-01 12:00 , 731382.0 ,0, 7.71624209893 3.08375790107
2002-05-11 12:00 , 731392.0 ,0, 9.16160289663 7.03839710337
2002-05-21 12:00 , 731402.0 ,0, 12.3708906388 1.3291093612
2002-06-01 12:00 , 731412.0 ,0, 17.3528916576 -2.75289165761
2002-06-11 12:00 , 731422.0 ,0, 15.5869021818 2.71309781822
2002-06-22 12:00 , 731433.0 ,0, 14.9204067353 2.97959326473
2002-07-02 12:00 , 731443.0 ,0, 12.3002952674 7.59970473263
2002-07-12 12:00 , 731453.0 ,0, 10.7906986035 4.00930139647
2002-07-23 12:00 , 731464.0 ,0, 8.48454796297 0.075452037034
2002-08-03 12:00 , 731474.0 ,0, 5.76049648386 -0.0404964838642
2002-08-13 12:00 , 731484.0 ,0, 4.49050783217 0.579492167829
2002-08-23 12:00 , 731494.0 ,0, 3.78322631464 0.986773685362
2002-09-03 12:00 , 731504.0 ,0, 3.0126215705 0.767378429501
2002-09-13 12:00 , 731514.0 ,0, 2.70918698785 0.490813012147
2002-09-24 12:00 , 731525.0 ,0, 2.41117941521 0.518820584789
2002-10-04 12:00 , 731535.0 ,0, 2.25468502589 0.49531497411
2002-10-14 12:00 , 731545.0 ,0, 2.1552450406 0.494754959398
2002-10-24 12:00 , 731555.0 ,0, 2.0484950473 0.501504952699
2002-11-04 12:00 , 731565.0 ,0, 1.99864041564 0.551359584365
2002-11-14 12:00 , 731575.0 ,0, 1.93532381314 0.58467618686
2002-11-25 12:00 , 731586.0 ,0, 1.84198404525 0.388015954754
2003-00-00 06:00 , 731596.0 ,0, 1.66218842472 0.527811575283
2003-00-10 06:00 , 731606.0 ,0, 1.63159246089 0.338407539107
